I Data	Q Data
75	-46
-59	-11
-39	-6
20	116
-62	92
65	50
47	9
-11	-41
-4	-14
39	17
-6	66
-60	84
-3	3
-37	27
45	24
29	13
-78	32
-6	-13
-53	0
-77	-33
29	-41
93	-50
26	-8
-31	9
-8	-35
-61	-79
40	-51
30	-19
72	96
15	34
-55	-37
3	11
0	84
-36	99
-34	-22
-12	-46
7	92
-20	92
-21	24
-30	40
35	21
62	42
-36	9
20	22
51	119
-56	25
-61	-34
-18	73
91	86
67	9
-25	-19
41	-1
69	-20
14	-33
-33	-2
-83	-43
11	8
13	10
-30	-22
-16	73
-22	-14
-72	31
-49	103
-22	-3
9	14
57	32
16	-13
-63	-77
9	-15
-6	29
-66	39
-66	-33
-53	-47
16	19
-16	-26
32	-17
20	31
17	-87
21	-32
64	17
-24	-7
-102	89
-74	31
-39	-28
-2	-39
-34	-27
-21	29
-24	51
-10	9
7	-9
33	9
13	59
-54	-13
16	-1
47	21
51	12
42	6
14	-34
42	-3
74	-10
-68	-70
-37	-40
14	-3
-20	-40
-14	-23
-63	49
20	-77
17	26
-13	72
26	-6
-6	16
-25	26
2	15
76	6
71	-1
27	-15
-46	-24
-18	-62
-35	-32
-59	-65
-63	56
-21	87
-1	-32
-2	-63
45	-13
-16	21
3	47
125	-70
26	-96
0	11
88	0
-10	-74
-20	4
4	-9
-1	13
53	75
44	39
66	15
43	7
4	33
50	19
11	4
18	17
-37	96
-57	-24
28	-39
45	-22
-26	-24
-21	121
32	16
67	0
62	31
87	39
-7	17
1	69
33	45
-55	-17
54	5
42	4
-54	-75
-47	72
-40	93
17	-85
1	-35
18	77
27	-40
-3	-1
-111	-24
-21	18
35	53
-48	0
-61	-30
-97	22
-12	3
86	-27
7	-24
48	45
126	3
67	-83
34	-4
50	78
12	65
-14	-26
29	-40
92	44
40	31
1	-15
-82	-21
18	74
72	80
61	-63
37	4
-69	172
-62	124
22	16
83	-14
12	-19
-10	8
18	0
12	89
-38	89
-25	-47
-73	-7
24	63
40	44
13	46
66	19
-77	17
-16	0
66	-50
7	34
6	106
-5	34
57	18
119	-61
55	-47
-23	-18
-7	14
47	-41
17	40
6	56
2	-42
4	4
1	-68
37	-85
11	19
-18	27
-31	-28
21	24
2	-6
-65	-23
4	1
14	58
-3	-1
39	-27
-33	-22
-93	-9
-45	-24
-37	-36
-5	25
4	-27
11	10
-8	-11
-88	-20
23	-20
-11	-50
-24	-49
-2	-16
12	-36
11	-86
0	-31
-12	55
-33	42
-21	-8
13	19
-34	1
-71	-25
17	42
59	54
32	-32
6	-57
7	-15
-18	24
-34	-21
-55	18
-10	97
25	-7
-38	5
-31	-8
37	16
40	41
-8	-30
-1	-74
-55	-31
25	36
4	-35
54	2
31	49
-119	-43
-31	-42
-31	-10
5	9
-24	3
8	-28
-32	6
-77	56
-2	-3
-33	-31
-52	-19
-43	66
-30	-26
40	59
75	84
41	-113
-86	15
-89	-42
18	-89
0	-1
-37	-47
67	34
62	23
46	-39
6	-51
-39	34
-44	84
-33	7
40	-60
-10	66
80	75
45	-21
-26	-9
64	29
60	36
-8	-35
27	18
-63	10
-89	-30
-4	25
-47	90
-53	-30
-43	-161
15	-37
25	-50
-60	-32
-87	25
78	-72
16	-49
-37	118
39	30
-39	-117
-32	-69
-2	-49
4	-29
-66	6
-61	28
30	-63
78	-44
50	29
-86	37
-29	49
62	38
-12	-2
17	-17
44	61
-1	33
-105	51
-56	19
-23	-50
59	-22
28	-4
54	127
19	-6
-73	22
-38	44
78	8
52	-18
-60	-35
17	8
32	70
-31	-50
60	-55
6	-14
6	-28
14	28
-6	24
28	-14
19	-3
-44	15
-58	35
15	43
-27	-33
36	-29
74	54
-34	67
4	-17
16	9
28	-21
27	-78
-58	10
-28	-48
60	-23
123	48
-29	49
-85	13
-12	50
25	-12
-53	-11
16	57
-24	1
17	-95
34	-8
-74	-15
22	19
68	117
3	-5
-51	-36
-61	16
-57	-5
54	-42
-4	15
-7	53
-31	23
-55	29
-35	45
24	35
24	8
-26	59
-65	-19
6	-63
-18	-24
-52	37
10	-8
19	5
-27	24
-104	86
-23	44
-4	-19
-18	-48
51	-49
-17	9
-38	73
17	-14
14	-38
-28	-54
-36	-41
-7	-11
9	12
29	-9
-26	45
-31	44
-45	39
-62	22
-50	52
16	-27
56	-64
15	34
-14	35
-67	-28
-97	-28
-11	3
17	-19
36	-10
-27	-88
0	-84
46	31
-10	29
90	-23
75	19
-32	-35
36	-10
8	10
-87	-1
28	40
86	100
32	-77
10	-92
-73	25
-12	21
65	80
-9	42
51	-76
37	-50
37	-40
73	17
-24	5
-20	50
113	33
85	-11
-23	42
-50	-49
-4	-30
-11	-55
-63	-22
28	41
53	-32
-22	11
-63	-62
9	-5
22	75
23	-30
47	-52
29	23
31	-39
10	-10
-56	-7
9	-45
37	-20
51	1
36	-40
71	6
77	19
-40	10
26	-7
-1	-54
3	59
-31	98
-15	-5
6	-42
10	39
14	15
20	46
91	-11
63	-99
14	-17
23	84
12	-13
-43	-2
-42	75
-30	-36
-21	13
13	55
45	-20
67	36
-5	34
-55	14
1	41
47	82
-33	78
-25	15
46	-14
120	26
133	24
-42	35
-48	40
-3	-92
-1	-36
-13	-39
-71	-39
10	9
-5	-4
-57	92
-4	38
64	76
41	82
-24	67
-57	90
-47	31
48	-39
-67	-34
-43	108
33	76
-43	-14
32	5
51	-28
-42	34
-51	58
-43	38
69	7
92	-83
18	45
113	81
43	-36
-60	-13
61	-75
89	39
8	0
-53	-192
-39	-30
13	68
-15	44
-58	90
-69	16
-50	26
-41	45
68	47
11	-132
4	-179
86	-51
-12	12
-79	2
3	18
33	-14
-61	-28
6	-44
37	42
3	3
-34	-114
-73	-25
-20	-8
-19	-72
-47	-6
-25	-52
24	9
60	-20
-31	16
-68	-35
22	-117
2	-9
-48	-39
-10	-42
-18	29
-34	-32
-49	-63
-44	-64
16	57
-62	24
-42	-28
9	63
7	-23
11	-40
4	9
8	53
-23	91
43	-77
33	-75
7	-22
-27	-91
-56	38
-34	20
-1	-27
-2	41
40	56
90	37
-35	-53
-47	-60
21	91
16	36
-23	-75
55	9
17	7
-27	20
47	-40
-60	-22
-115	-62
53	-20
17	45
-12	67
-92	17
-56	-34
-9	17
-84	-18
22	-39
44	-22
6	-1
-24	-5
-22	-17
74	-40
78	-36
36	8
-17	-38
-18	31
34	95
3	41
-51	-46
-30	-11
-19	-35
-95	-67
-61	39
24	3
53	-34
6	-19
-45	-6
12	36
-35	-5
26	-3
-28	3
-11	-27
28	50
36	-25
22	-46
-19	31
-18	-60
-79	1
45	0
60	27
-21	14
35	-95
35	-41
-88	27
-112	45
-28	82
15	5
28	-3
47	-85
16	-48
12	130
-5	7
-43	-101
-36	-24
-4	113
-55	79
-33	-20
77	37
37	-30
-53	-54
14	29
12	36
-61	53
62	58
54	88
11	53
43	-53
-5	-16
36	-15
57	17
-32	40
-57	-67
-29	-28
-1	-6
-13	19
24	-18
10	-89
-28	-115
-23	-58
-36	99
67	-14
34	-87
-25	4
45	68
29	15
-23	-48
-2	1
61	-55
-59	-35
-8	-32
19	-22
-18	-22
21	17
-35	-24
-84	45
26	-27
45	13
-75	-32
-6	-67
63	27
-25	-13
-2	-29
-8	-79
-57	-40
-59	-13
64	-76
-34	-18
-22	29
100	58
32	24
17	-11
-13	5
-24	-31
-5	10
-90	-4
-82	45
12	-6
-75	-17
-30	49
36	36
80	109
-41	47
-20	-67
67	-51
12	-31
-28	42
20	19
24	9
50	22
68	-44
-20	-89
15	-44
-43	50
-5	22
-32	-16
-9	-36
-9	-52
-17	-10
75	58
32	39
-79	-6
32	9
46	11
-61	17
76	41
87	20
21	0
43	19
-4	28
-29	-24
6	-29
19	17
53	62
71	19
81	1
-10	3
32	1
47	-91
-29	-54
-96	41
-145	104
48	74
-20	-13
-81	32
-5	-39
-56	-113
-18	31
-16	4
49	-44
75	-30
6	66
-28	63
-5	12
41	34
-71	-2
41	67
38	38
38	-3
0	40
-55	36
-62	-37
29	36
18	-20
-52	-41
30	-14
60	-3
-43	-32
-35	-47
24	5
48	91
56	7
-11	-58
-70	2
18	-19
76	33
-74	6
-61	-100
-57	5
-67	-1
-11	-2
54	3
40	-76
40	-128
25	-1
-14	60
45	32
52	-9
38	16
-37	-19
-15	-27
-6	36
-11	29
-18	-40
-28	-77
40	50
-11	78
26	51
60	91
97	6
43	-95
-17	24
-62	26
-86	-19
-14	-67
-17	29
0	22
-46	-49
-8	-69
-6	-35
42	-9
-19	22
-9	80
82	2
59	17
31	29
46	-27
-45	-12
26	15
125	-4
55	62
-1	-19
-39	-31
-4	-24
8	76
41	25
81	-58
-45	1
-59	18
-1	-34
27	17
13	27
28	44
-4	16
-20	4
-19	21
20	23
-33	84
-55	-40
-37	-42
45	11
23	54
35	-41
39	-48
64	3
1	-22
-47	-41
19	39
-18	69
42	12
29	59
-74	18
-18	13
-19	28
39	-19
50	-9
-63	-13
-47	-38
-14	1
26	-7
67	22
71	-6
28	-15
44	1
7	1
-4	-7
76	-15
95	23
12	-46
24	-51
-5	50
-58	62
-30	-33
41	-81
-50	-28
-63	29
22	-42
41	95
41	66
-45	-31
-35	-41
41	51
9	76
38	-11
-24	24
-49	57
49	7
-90	31
-98	-20
-41	50
-31	33
-53	43
17	67
-68	-9
33	-19
-31	-22
-80	-28
38	-34
-9	-4
-80	60
-31	7
39	13
89	30
41	-75
-40	-93
-41	45
26	86
139	112
92	81
-59	43
-96	-8
29	-35
53	-20
-87	31
-42	128
68	52
32	-78
-42	-11
-29	-25
-94	4
-34	42
-82	-18
-63	53
20	79
2	64
16	7
-50	13
-26	63
34	40
21	-57
-36	-7
-37	43
5	14
21	-87
38	-19
70	94
45	31
-27	-49
-3	39
25	96
31	-5
99	-97
40	-40
63	-17
91	-38
64	15
-23	45
-81	26
59	93
33	91
-28	-39
4	-31
-1	-26
83	3
39	-26
76	-58
42	34
-13	-10
-29	-91
-49	17
-98	32
-144	-58
8	3
86	30
2	6
-16	-5
4	-26
-18	-93
-32	-45
-7	-13
1	-27
45	-4
23	6
-47	-38
75	18
41	71
-16	-93
-42	33
32	-3
-7	-3
-33	36
22	-4
11	53
35	45
87	20
-39	-34
-58	-74
-4	-8
-5	40
-16	-50
-50	32
-18	53
12	-32
68	-17
51	-20
-41	49
12	39
64	12
-13	48
-46	19
-28	15
41	80
41	17
15	14
11	24
4	28
29	87
-16	61
-67	18
16	35
17	18
-18	-56
-19	7
30	34
-3	-21
41	-17
-39	-66
-7	46
47	39
-75	-38
22	-12
38	27
3	10
-51	-20
3	38
83	51
9	9
-27	-2
35	-54
48	-5
-22	-3
33	-73
-9	-26
-52	26
35	-25
-2	-29
-24	-59
19	10
-25	83
-23	51
49	54
-75	-1
-12	-15
11	14
26	-5
4	-35
21	48
-20	26
-57	29
31	9
-4	101
65	32
9	34
21	82
75	0
10	26
6	28
10	-6
45	32
47	41
7	-25
-7	24
-45	-4
-55	18
-41	91
29	-22
48	-4
-2	72
-53	61
-75	38
3	-105
22	-55
-1	87
-2	-42
-13	-60
1	-3
11	-28
-63	-5
2	-42
1	-14
27	53
107	-40
-11	-29
4	30
19	-21
-24	-110
-52	-159
-18	-18
-32	-16
-32	9
-5	63
46	15
15	-29
-35	12
55	25
6	-9
51	-23
-4	69
-3	30
6	-76
38	-56
1	116
-26	63
-23	-59
74	-63
84	77
-46	-7
-8	110
20	57
-34	-64
9	-37
38	26
-72	-2
-33	-59
-9	56
1	15
-12	-65
-44	-36
-22	-60
-18	-32
-12	23
-20	-13
5	-46
-14	13
-22	50
21	5
62	20
16	34
-21	-20
-20	-13
7	7
19	44
102	98
23	-1
-136	4
-69	67
27	-4
4	-44
2	13
-26	54
110	67
78	44
42	-27
16	9
26	11
-5	-63
-36	-20
-36	64
-31	46
-18	68
-34	10
-8	34
-52	21
-42	59
17	7
52	16
22	5
38	-24
-30	-10
-18	0
79	-34
19	8
-15	-37
2	-17
1	53
-88	25
-55	-15
17	-13
45	-7
54	9
31	-9
-28	36
-25	11
-23	-34
-62	-14
-33	-5
-15	-88
-70	-14
65	-17
94	-9
-6	41
97	-28
73	-54
-35	-60
-64	65
48	43
0	43
-47	26
-24	-33
81	7
12	-72
-105	-33
43	54
86	113
38	19
-4	-136
-8	-39
-27	31
-51	-49
37	3
-66	73
-4	-18
41	-26
1	78
85	93
-4	12
-62	21
-2	-20
15	-56
-2	-76
7	43
-17	78
-38	50
33	42
-9	48
-66	28
14	25
-5	21
16	1
-57	-46
-49	3
22	75
51	-35
5	-3
-63	12
39	43
28	13
4	-31
-12	16
-54	59
25	-42
23	10
62	92
128	14
27	-86
13	10
81	74
55	-77
-37	-47
-46	18
39	27
-48	13
-53	40
-15	-50
35	-17
70	69
-92	41
-113	48
42	96
112	48
-18	6
24	19
92	52
-25	-35
68	68
58	-14
20	-59
27	11
-65	40
79	57
29	-9
-10	21
51	52
-23	46
75	-26
37	62
-13	-33
-49	-121
54	7
27	-21
-38	17
20	54
36	-60
9	-50
22	-30
-14	-10
-101	6
-82	-46
-10	14
21	-36
48	-81
48	-16
31	-27
-2	37
-1	-45
10	-33
22	-25
-20	-1
-45	115
3	78
-10	-20
-3	-18
103	-34
38	63
1	126
29	34
-36	-9
24	-100
44	12
5	52
44	56
52	42
-100	38
-57	50
42	-19
-14	-49
1	-10
61	-10
-50	1
-40	22
73	80
20	-17
-4	9
3	-15
57	-35
-6	49
-10	57
59	48
-5	34
16	33
-24	-11
-17	-12
45	46
27	9
-32	103
66	103
25	8
-41	-27
-69	-64
7	16
50	53
-19	-103
-58	-115
-35	-96
-39	8
-10	9
-37	-112
-31	-67
-45	60
11	-64
-69	-30
-39	-48
-8	11
0	-53
-16	-97
7	-2
-10	37
-49	-44
-24	-87
-6	36
-44	35
-59	1
3	1
1	29
60	-37
52	-75
-37	-12
-42	-97
-15	-45
41	7
38	-17
28	12
22	7
53	-17
-27	10
-59	23
-25	95
4	50
12	10
16	42
-36	29
21	29
-18	-68
-31	-18
50	71
-22	-42
28	3
10	13
-57	-61
-18	-54
-26	-65
16	-28
-28	-4
2	-100
31	-24
-84	8
-40	-3
38	2
-1	38
-20	59
21	-10
-15	-2
-61	40
33	42
71	39
21	-69
29	-15
0	-37
-40	-101
-26	23
-68	22
-25	11
9	-33
50	-30
-3	30
-26	64
-4	119
-25	2
-53	-30
-36	-6
16	-41
57	22
-20	-8
-24	-71
54	-15
41	-9
-5	-53
23	-66
35	7
-26	-25
27	-54
-8	-32
-5	38
131	9
12	28
-134	11
35	3
34	-20
-71	-64
13	82
13	-38
48	-93
18	16
-8	42
129	-45
72	-96
-28	-11
-9	47
-33	-36
-87	-21
21	-33
47	-5
65	-73
58	-17
32	-3
-10	-24
-68	69
13	15
17	-36
-16	-11
-19	-2
-43	-16
64	11
97	25
-41	-56
7	-7
79	42
15	25
57	66
20	71
31	52
-17	52
-27	86
103	-18
-11	-29
-42	-2
-3	-11
28	68
-12	-7
-17	-1
-17	64
-15	-10
60	7
-20	50
-49	-37
23	-43
54	-3
18	50
-28	27
-20	6
102	9
18	5
-60	0
29	-50
5	-5
-31	34
-60	-41
-48	-26
55	9
-11	-3
-15	1
6	75
-57	37
-43	-79
11	-31
80	27
-18	-30
7	9
17	34
-57	17
-31	-21
-13	-23
-17	-8
0	-3
51	2
6	-42
-93	8
23	37
90	30
66	68
48	-47
63	37
40	141
12	96
3	28
7	37
45	-7
36	17
-38	29
35	58
35	76
21	-32
-47	-62
25	20
21	-79
-8	-1
-9	31
-80	-10
-68	2
34	66
42	58
-2	51
20	-65
-11	-71
-40	26
-61	96
-6	75
-8	-32
-6	61
54	165
6	77
10	-28
-17	-32
7	16
8	69
-20	93
23	-6
-38	-6
-40	16
96	-91
43	-11
24	61
34	16
71	-69
64	-34
79	-43
59	-13
9	3
-48	-32
6	49
-27	48
-3	-46
-50	-56
-32	42
68	20
5	-4
50	-39
124	-75
-12	-102
24	-75
-6	-56
-54	-75
13	-12
17	72
-15	54
-29	-23
35	-19
0	21
24	-6
-44	32
-56	49
-3	-66
22	-53
27	62
-1	37
-7	38
-5	-5
-75	8
-46	97
-69	36
-25	-22
40	60
59	59
11	-25
37	-24
74	-26
13	43
-78	24
-51	-73
-18	-76
-51	-81
40	-67
-7	66
-14	77
68	39
12	29
-21	35
12	1
-86	12
-10	75
1	39
-50	36
-44	-32
29	-20
36	-42
20	-64
99	36
70	7
37	-62
2	-33
17	60
-44	1
-51	-21
-33	-30
19	-13
19	-29
20	-52
-9	18
3	14
-12	33
-28	1
-3	-39
73	-22
70	5
44	4
79	52
28	54
71	-99
-37	-22
20	22
-9	-16
-55	-11
64	-28
33	-41
-55	6
-33	84
-62	-47
-5	-51
-55	-2
-101	-104
-63	2
-38	61
47	23
22	-16
21	-10
54	-10
61	-1
22	51
20	-27
-5	-68
34	-3
-5	-64
-35	-12
55	-19
38	3
-30	8
77	21
44	29
39	30
-99	-40
54	-59
92	27
-91	-16
-108	-35
36	-44
45	62
53	-84
-3	17
-45	111
-67	-12
25	-13
23	25
-26	0
12	-21
28	18
-45	20
18	-76
-39	-78
-67	41
3	42
30	-27
-4	38
42	-60
31	5
-2	76
26	-70
-8	46
-27	29
46	-39
33	47
43	9
-3	-30
17	-6
57	23
-36	-28
-46	-24
-62	22
21	0
67	-19
-3	44
12	-26
69	-83
-2	-6
-61	50
-15	60
28	-13
-76	-40
-67	-28
-5	88
48	-28
34	-42
27	-16
-17	-62
2	-7
49	36
55	-58
63	-37
-71	40
-6	29
48	-12
-6	-64
-23	-13
-74	-9
-37	-44
-13	7
-35	-65
-57	44
10	41
70	27
91	46
90	-31
32	12
-68	-32
24	-76
65	-69
-17	-4
31	4
11	33
15	20
-14	57
-23	-14
-10	-35
34	71
57	8
23	-80
-2	76
-30	45
-21	52
-6	68
24	-10
34	-4
35	-24
-23	30
29	-18
26	16
-24	12
-59	-47
-85	-16
-90	-31
-73	-17
-31	-10
-16	46
16	43
85	-30
64	53
39	-16
15	26
42	-28
-52	-28
-100	-1
32	-115
23	-25
7	-64
33	-51
46	54
1	-7
-9	-27
33	-12
20	18
17	-34
23	-3
-11	18
-33	-73
34	-6
37	13
-11	16
86	-4
37	-57
-42	-52
57	1
118	13
54	15
-94	71
-33	48
40	-18
-30	-27
-16	-27
30	48
52	29
-9	-15
18	-42
12	-5
-60	-5
-35	-3
28	-18
81	-1
-49	35
-93	-25
-34	-64
8	-93
22	-82
48	9
87	44
8	-39
-66	-87
21	-24
16	5
3	-47
15	-24
-28	11
4	-2
-3	81
-49	33
-15	32
-3	60
9	50
82	22
62	-74
-37	31
-14	60
55	-63
10	21
-52	67
-67	-1
-44	50
51	-35
37	-48
-44	66
-46	30
-51	-64
-41	-21
61	16
10	14
-21	-17
-9	-92
67	-7
15	51
34	15
32	-27
-89	-22
-15	-1
6	68
31	53
45	-24
-9	-19
21	-66
-5	-43
2	-50
4	-22
-20	-42
42	-9
40	26
-36	-15
-80	-29
-73	-7
-65	-80
-51	-62
-97	-5
-6	-95
23	-45
70	14
25	11
-19	-31
-5	-138
17	-53
-49	64
-21	24
5	-40
-51	42
-14	-10
-8	10
0	81
27	-39
-37	-76
15	-12
7	75
-61	14
-75	-2
32	-61
51	-60
-4	21
-59	-20
-29	-18
26	-21
75	-100
124	29
29	18
-47	-47
-81	-25
-61	-59
32	24
-39	29
-34	15
64	13
69	13
11	-39
-32	-26
11	2
1	57
44	-33
53	-47
-7	2
-29	38
55	-38
-7	-39
2	-25
42	0
-48	42
19	-4
15	-58
30	-79
-51	-46
-105	12
49	57
-19	-47
-40	-94
6	-63
-14	-62
-3	-79
31	-90
38	-41
-76	-72
-54	-74
-55	84
4	55
47	-39
-35	19
29	15
-13	50
-91	38
30	35
36	47
-18	-17
-24	-48
2	-36
12	-8
78	-30
35	-1
-23	24
-19	55
-48	17
9	-68
29	-27
-107	-31
-33	-37
44	-40
83	-97
-10	-34
-21	21
-31	5
32	4
55	-35
13	-31
67	-4
-55	-20
-112	-29
6	7
74	14
31	-18
8	-7
4	-47
24	-29
111	-60
48	-36
10	27
7	-21
-104	-123
-78	-45
8	10
-32	32
-54	39
-40	-16
-20	23
-16	-32
-21	16
-27	15
-61	-8
-17	34
-25	-19
15	-32
76	6
39	-74
20	-97
90	17
-25	-24
-96	-25
0	24
-18	73
-21	-23
-42	-117
-16	-9
-5	26
-3	-19
15	-5
-1	40
-1	2
-38	-52
-72	-40
-64	-50
-32	-22
-20	64
-3	41
-62	55
9	54
98	64
3	-21
-20	-204
13	-56
45	8
-17	-39
63	44
60	39
-1	36
-109	69
-131	2
-56	15
-41	110
-119	40
32	64
47	31
-14	51
76	9
13	-44
-62	0
17	-31
57	-49
-18	16
-97	62
-45	40
81	30
102	120
-67	69
-97	-66
23	26
51	-29
29	-47
-36	9
6	-11
-48	32
-60	36
62	-37
-33	5
10	9
42	-14
-5	-50
3	-94
41	4
39	-2
-17	-56
-111	32
2	13
55	-13
32	96
-12	110
-44	22
-16	20
-52	-8
22	73
62	46
14	-5
-56	-32
11	44
33	69
51	3
36	5
24	-2
39	5
22	-65
-20	49
-9	31
-87	52
-38	-35
-28	31
13	87
1	-1
-13	1
55	-27
-26	38
41	-48
134	-1
1	44
21	-8
-12	36
8	19
84	34
47	-27
79	-50
-27	36
-6	3
130	-5
69	131
-36	22
41	3
55	36
-106	-1
-122	-53
-56	-28
25	78
32	61
0	-63
18	3
10	1
-20	19
51	31
30	-6
-111	-38
-35	3
51	18
-65	-81
4	-27
22	94
47	57
99	37
19	-28
-67	-3
-51	-39
65	-19
7	35
-43	-27
-16	18
67	11
94	-66
-68	-33
-21	-41
31	-6
25	-5
46	-61
-29	30
-62	59
-62	54
75	-39
-46	-51
-50	75
34	57
10	-17
2	-5
-56	13
-22	58
32	-20
-61	-21
6	-1
110	3
50	-57
-38	-63
-13	7
-57	-61
-29	-4
70	14
-60	-54
-12	-15
14	-31
-66	-49
-23	43
-3	3
16	47
59	24
-76	8
15	-11
-9	-22
-36	16
32	2
-63	-77
-39	-11
36	-20
65	-56
36	-29
0	6
55	23
-47	-6
25	-3
21	22
-43	-17
74	4
37	8
-6	-40
12	22
60	10
32	14
58	-19
40	-77
5	-42
47	15
40	-38
-9	-31
13	-14
-26	-14
-15	45
-56	-48
4	-25
-11	2
-38	-49
-30	-13
16	34
-5	12
20	-25
-64	6
12	-98
60	-21
82	-3
43	-77
13	27
-28	-14
-3	20
81	97
25	77
-80	-42
-15	-105
35	59
33	24
17	7
39	136
57	50
-33	-21
41	-76
64	9
8	-42
6	-4
-33	13
-14	-18
15	-14
-74	10
28	45
63	67
15	64
-25	-70
19	19
6	79
-80	57
2	-4
4	21
-23	60
-5	-7
-29	-4
12	-52
92	46
-4	0
26	29
25	24
-92	-120
-39	-52
-22	-38
-3	70
-50	57
35	-16
81	-68
-13	33
26	54
12	-19
-8	59
-6	24
52	-17
71	56
65	11
-32	-18
-11	-41
88	2
-22	56
-70	55
-14	16
-65	25
-14	8
-27	14
-94	9
-19	-119
-1	-70
65	12
-41	16
-45	-12
23	-110
24	-33
25	67
3	36
-3	-37
36	-31
-35	-48
22	-2
-21	43
26	-77
21	-60
-81	-31
-32	-2
-66	-46
-32	-48
-8	-8
-10	104
76	73
57	28
20	4
-15	-91
72	-65
96	-11
-32	-27
3	-8
15	-39
-8	-20
54	72
59	-30
30	22
1	32
-84	0
-41	-7
-36	28
-55	0
-42	-49
-11	5
53	33
-38	-58
20	-81
32	-27
-18	-9
-10	27
-11	-2
11	4
-22	17
25	11
3	16
-66	-60
3	-10
51	-3
-13	-4
-44	-12
-78	88
-35	116
4	44
35	90
36	-16
60	-3
24	20
-45	-66
-5	-9
-17	3
12	-20
100	-34
14	69
-21	-35
-26	-52
-123	42
-65	36
8	53
-3	-3
17	-30
44	-69
10	-38
9	82
6	-20
-41	6
60	30
9	6
32	-36
23	51
61	74
4	-46
-134	-24
-76	-17
1	-13
-24	-2
19	58
-3	17
-87	-3
2	-11
-13	42
-137	50
-34	-31
42	-74
-16	9
-8	-53
2	-83
38	38
29	14
-81	-26
88	23
148	64
-34	-36
-26	-66
78	23
-23	18
46	-33
97	-63
-40	66
44	-8
-1	-26
-83	86
-38	-38
-50	2
53	87
96	-48
-18	-5
-19	-46
5	-9
-70	37
-33	50
22	-18
-42	35
41	15
73	28
-10	14
-16	20
39	-19
-38	-14
-62	-28
0	-3
-74	15
-79	-2
36	-50
32	-31
-43	-61
27	-50
32	-61
63	-94
72	-23
18	56
26	5
-56	-21
-61	19
8	-6
71	55
62	65
46	-87
-57	-30
48	19
-35	-107
-43	-35
101	-2
38	-24
45	-6
42	-38
9	-17
26	4
37	-62
-5	12
-44	47
-46	45
-38	37
13	49
81	2
2	46
-26	113
12	70
-13	6
-1	-52
8	27
63	73
2	-53
16	-15
44	82
-3	16
24	18
17	-38
-31	-11
-93	38
-50	10
-77	24
-26	-26
43	-31
-40	20
-38	-12
-6	29
113	25
88	-12
39	1
7	-11
-29	-68
-48	-9
-90	43
-5	-3
60	-69
-7	-15
-58	19
6	-41
38	-5
18	13
0	-31
-31	-57
59	-25
106	39
34	1
27	4
60	23
-64	-94
-24	-84
-13	19
-73	-40
9	41
-26	2
-122	-88
-31	34
-4	4
40	18
-12	45
-26	27
48	2
-15	90
37	-48
-13	-92
16	18
-12	6
-19	-57
88	-93
10	28
-15	35
19	7
-43	7
-23	-75
-18	-54
-53	-20
1	-15
37	18
-46	64
-51	9
-40	19
-31	38
41	-82
-12	5
8	-11
100	6
48	-34
-31	-81
20	41
-28	37
6	-39
21	22
-35	16
22	-20
-25	-75
-61	5
-19	59
-2	-39
30	-17
42	-29
-49	-1
-59	10
80	-33
55	-31
-87	-48
-50	9
4	29
-108	58
-2	12
74	-19
-65	53
-38	25
148	6
14	88
-5	24
-46	-16
-8	4
45	71
-56	-7
-16	11
34	-35
54	-120
-10	-27
-114	-48
2	-74
30	-55
-12	58
-5	-7
-69	-59
-38	27
-13	5
-22	-38
-48	-21
0	27
-65	-20
0	-166
7	-17
9	55
-20	-57
-86	-16
-10	25
-55	-13
77	94
-40	74
-47	-43
19	-41
-14	-17
28	67
40	0
-2	-35
-44	-25
-42	-66
-28	-33
40	-13
11	30
50	19
57	-3
33	-33
34	-24
-27	12
-42	24
25	-14
66	-24
-32	24
-62	65
62	57
4	41
2	-29
18	-18
23	18
-7	-40
-27	-11
39	-39
57	3
-9	12
-35	-23
-64	20
22	17
11	18
37	64
-27	34
-16	25
67	-17
-2	-67
40	78
18	6
22	23
58	56
-6	66
-42	63
-7	-24
-80	42
-33	-13
-62	-56
-76	-32
-14	-18
-36	-49
38	-2
53	7
-9	0
9	20
22	-1
3	-80
19	-10
31	-49
28	-6
39	-51
-32	12
8	74
54	32
9	13
62	6
57	-23
-27	-28
21	37
39	-23
-91	-33
3	-51
27	86
-18	11
27	-18
68	-32
-6	-34
-25	45
0	-12
-52	-3
-3	-16
-28	-16
-51	-27
29	-37
10	101
-6	63
-22	-66
-39	77
7	92
58	67
73	13
-15	-95
-11	-81
-54	-34
-30	-16
-1	76
29	16
-1	-11
10	21
-82	13
-33	-17
57	8
-28	-22
-41	-2
-3	28
10	-35
44	-39
-52	0
-116	46
-64	21
-20	-33
-56	19
-36	-12
-45	-42
23	40
43	54
16	-44
-14	55
45	-7
86	5
52	28
81	-50
51	-1
-56	90
-79	88
50	41
42	-26
-49	-74
-33	-67
22	29
45	-16
-18	-22
-78	71
40	29
35	10
-52	-37
-1	-53
32	-60
-3	8
59	7
-6	-29
-11	-17
37	-59
57	4
-43	-15
57	1
24	189
-36	109
65	23
46	8
0	-39
-3	4
22	-28
-12	-29
-57	56
-9	58
